"key","parent","text"
229,21,"Training"
230,21,"Trainingsausrüstung"
231,21,"Fitness"
232,21,"Gesundheit"
233,21,"Gesundheitspflege"
234,21,"Fitnessclub"
235,21,"gesundes Essen"
236,21,"Krankenversicherung"
237,21,"Gesundheitsmagazin"
238,21,"Sport"
239,21,"Workout"
240,22,"antike Bücher"
241,22,"Audiobücher"
242,22,"Babybücher"
243,22,"Bestseller"
244,22,"Buchclub"
245,22,"Buchkritiken"
246,22,"Buch suchen"
247,22,"Buchläden"
248,22,"Kinderbücher"
249,22,"Comics"
250,22,"Romane"
251,22,"Literatur "
252,22,"Poesie"
253,22,"Schulbücher"
254,22,"Lehrbücher"
255,22,"gebrauchte Bücher"
256,23,"Abenteuerreise"
257,23,"Flugreise"
258,23,"billige Reise"
259,23,"Billigflüge"
260,23,"günstige Hotels"
261,23,"günstige Reise"
262,23,"Hotelaufenthalt verlängern"
263,23,"Familienurlaub"
264,23,"Flüge"
265,23,"Hotels"
266,23,"Reise"
267,25,"Baseball"
268,25,"Baseball"
269,25,"kleine Liga"
270,25,"Baseball für Jugendliche"
271,26,"Basketball"
272,26,"Basketball"
273,26,"NBA"
274,27,"Fahrradausrüstung"
275,27,"Radrennen"
276,27,"Radfahren"
277,27,"Fahrradläden"
278,28,"Football-Ausrüstung"
279,28,"Football-Feld"
280,28,"Football-Spiele"
281,29,"günstig golfen"
282,29,"kostenlos golfen"
283,29,"Golftaschen"
284,29,"Golfbälle"
285,29,"Golfcaddy"
286,29,"Golfclubs"
287,29,"Golfplätze"
288,29,"Golfausrüstung"
289,29,"Golfurlaub"
290,29,"Profigolf"
291,30,"Hockey-Camp"
292,30,"Hockey-Ausrüstung"
293,30,"Hockey-Spiele"
294,30,"Hockey-Ausrüstung"
295,30,"Hockey-Spieler"
296,30,"Eishockey"
297,31,"American Soccer"
298,31,"Brasilianischer Fußball"
299,31,"Fußballausrüstung"
300,31,"Fußballspiele"
301,31,"Fußballschuhe"
302,32,"Tennisball"
303,32,"Tenniskleidung"
304,32,"Tennisausrüstung"
305,32,"Tennisschläger"
306,32,"Tennisschuhe"
307,34,"Antivirus-Software"
308,34,"Computer zusammenstellen"
309,34,"Computer kaufen"
310,34,"günstige Computer"
311,34,"Computerzubehör"
312,34,"Computergehäuse"
313,34,"Computerspiele"
314,34,"Grafik"
315,34,"Hardware"
316,34,"Tastatur"
317,34,"PC-Speicher"
318,34,"Monitore"
319,34,"Computer-Software"
320,34,"Computerläden"
321,34,"Desktop-PCs"
322,34,"Laptop"
323,34,"Laptop "
324,34,"Pocket-PC"
325,34,"Tablet-PC"
326,36,"Desktop-Zubehör"
327,36,"elektronisches Zubehör"
328,36,"elektronisches Spielzeug"
329,36,"Hi-Tech-Zubehör"
330,36,"Küchenzubehör"
331,36,"neuestes Zubehör"
332,36,"neues Zubehör"
333,36,"Spionagezubehör"
334,36,"technisches Zubehör"
335,37,"Breitband-Internet"
336,37,"Kabel-Internet"
337,37,"günstiges Internet"
338,37,"schnelles Internet"
339,37,"kostenloses Internet"
340,37,"Internetwerbung"
341,37,"Internet-TV"
342,37,"mobiles Internet"
343,37,"Satelliteninternet"
344,37,"Wireless Internet"
345,38,"wissenschaftliche Bücher"
346,38,"Wissenschaftszentrum"
347,38,"wissenschaftliche Experimente"
348,38,"Wissenschaftsausstellung"
349,38,"Science-Fiction"
350,38,"Wissenschaftsmuseum"
351,38,"Neues aus der Wissenschaft"
